Site,Lat,Lon,Conc,model,vna_ozone,evna_ozone,avna_ozone,ds_ozone,ROW,COL,Period
10030010,30.498000999999967,-87.88141199999991,43.41304347826087,41.302132445652184,43.76275449274068,42.669945987113486,42.595204000597406,44.3627989130435,60.0,287.0,MAM
10030010,30.498000999999967,-87.88141199999991,47.76086956521739,53.260360673913084,46.90316593107494,44.95411561694664,44.31427078429703,48.46917717391306,60.0,287.0,JJA
10030010,30.49800099999998,-87.881412,44.90163934426229,45.777592491803276,44.38514851903421,42.70297851878851,42.37651351191292,45.10398688524589,60.0,287.0,SON
10030010,30.498000999999945,-87.88141199999991,45.416326530612245,46.90686738367346,45.09697444347807,43.53589941722297,43.186281650763156,46.089326530612276,60.0,287.0,Annual
10030010,30.498000999999952,-87.88141200000025,45.650273224043715,48.18687035519126,45.188135378857794,43.32127142030211,42.85632078850329,46.35068907103827,60.0,287.0,Apr - Sep
10030010,30.498000999999995,-87.88141199999998,72.8,68.3520196,68.21575313194622,68.85287488657056,68.40850249969579,70.69274999999999,60.0,287.0,top - 10
10331002,34.76055600000004,-87.65055599999984,41.79545454545455,44.204495204545466,44.96565106840766,44.63102434164531,44.56756530940341,44.4541681818182,100.0,284.0,MAM
10331002,34.76055600000004,-87.65055599999984,47.03448275862069,57.91263040229884,50.25076986606082,52.91934438005124,53.07929870173355,50.45713908045977,100.0,284.0,JJA
10331002,34.76055599999998,-87.65055599999994,41.26229508196721,45.53558650819671,45.52817690803945,45.43757650589775,45.4101451007454,44.71630983606556,100.0,284.0,SON
10331002,34.76055600000012,-87.65055600000022,43.58898305084746,49.601971186440664,47.05937738880329,47.89493758469919,47.923150785694006,46.73488474576271,100.0,284.0,Annual
10331002,34.76055600000011,-87.65055600000015,44.61797752808989,52.32562153370786,48.221174475469574,49.62860365038754,49.67244605428895,48.04325112359552,100.0,284.0,Apr - Sep
10331002,34.760556,-87.65055600000001,63.4,64.47527290000001,63.39414543560797,67.093083153412,66.70992541905697,63.113810000000015,100.0,284.0,top - 10
10499991,34.28879999999996,-85.9697999999999,35.3448275862069,32.80019033333333,32.10399056322411,35.66998326641225,35.32936925469391,33.82489540229885,97.0,298.0,DJF
10499991,34.28879999999997,-85.9697999999999,44.59493670886076,45.81601789873416,43.29538917210305,43.81982224248352,43.66393812422243,43.71231518987342,97.0,298.0,MAM
10499991,34.2888,-85.96979999999992,51.03030303030303,56.727701818181814,50.18088623575579,48.50990868448655,48.03500809136222,50.025498484848484,97.0,298.0,JJA
10499991,34.288799999999966,-85.9697999999999,39.30120481927711,42.41659878313254,37.98930210972576,38.37793022985466,38.242009974391415,38.40720722891565,97.0,298.0,SON
10499991,34.28880000000013,-85.96979999999978,41.993650793650794,43.61170791111111,40.24899520718653,41.11770375742258,40.849217774210594,40.906412380952396,97.0,298.0,Annual
10499991,34.28879999999997,-85.96980000000019,47.583333333333336,52.17284570833336,46.420632657340704,45.7403060673904,45.475612374333274,46.57727847222222,97.0,298.0,Apr - Sep
10499991,34.288799999999995,-85.96979999999999,65.1,64.8778303,60.11988815540618,59.960857003767444,59.847309053110095,61.43952,97.0,298.0,top - 10
10510001,32.49856700000005,-86.13658699999998,44.52173913043478,45.43193394565217,43.3800525454419,44.795251926729804,44.82167429234099,43.41137173913044,80.0,298.0,MAM
10510001,32.49856700000005,-86.13658699999998,47.90217391304348,57.049922369565195,49.587554207083485,48.69252835692395,48.35144100998094,49.14818913043478,80.0,298.0,JJA
10510001,32.49856700000004,-86.13658699999998,42.46551724137931,46.95991660344827,42.738615851528614,43.85025052584369,43.898427703894875,42.513881034482765,80.0,298.0,SON
10510001,32.49856699999986,-86.13658700000052,45.31404958677686,50.21490059504135,45.58619644884706,46.05037320907058,45.942295101816235,45.377209504132196,80.0,298.0,Annual
10510001,32.49856699999993,-86.1365870000004,45.994535519125684,52.553946622950875,47.03942950009908,47.02751935560694,46.89500106668288,46.65316284153005,80.0,298.0,Apr - Sep
10510001,32.498566999999994,-86.13658699999999,66.8,66.31883939999999,67.52812256897899,64.67011625433061,64.54424085000258,66.16693000000001,80.0,298.0,top - 10
10550011,33.904039000000004,-86.05386699999984,43.120879120879124,46.94902107692307,44.45158881595158,45.136263677510314,45.10344425791821,44.41886813186812,93.0,297.0,MAM
10550011,33.904039000000004,-86.05386699999984,44.93478260869565,58.385878815217396,50.83896335693744,50.219260618944006,50.00732957470006,50.13172826086957,93.0,297.0,JJA
10550011,33.904039000000004,-86.05386700000001,37.30769230769231,45.985375288461555,42.22810694804976,42.14871467523993,41.96836080078216,42.17991730769231,93.0,297.0,SON
10550011,33.904039000000004,-86.05386699999991,42.54468085106383,51.21319695319143,46.460173499525226,46.46512823280328,46.32954259567504,46.15996468085106,93.0,297.0,Annual
10550011,33.904039000000004,-86.05386700000015,43.61581920903955,53.88877370621469,48.15020213725987,47.82622914490361,47.686736252845144,47.60918757062148,93.0,297.0,Apr - Sep
10550011,33.904039000000004,-86.05386699999998,62.1,64.6981332,63.50166320676681,64.19018293315551,64.00755132918201,61.62885,93.0,297.0,top - 10
10690004,31.190657000000062,-85.42311700000009,44.86666666666667,44.62516181111111,44.88829712849141,45.803389164549806,45.73289834902653,45.41586666666667,69.0,305.0,MAM
10690004,31.190657000000062,-85.42311700000009,45.130434782608695,50.686849358695646,43.6360769949098,44.4623799970456,44.5101806898701,44.36107826086957,69.0,305.0,JJA
10690004,31.19065700000004,-85.423117,43.24590163934426,45.29363772131148,41.669063906375996,42.132973266837304,42.150755010954036,41.95336229508197,69.0,305.0,SON
